EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-18T18:39:30.000Z,7.97575,2.14907,-5.20870,-5.62350
2014-02-18T18:40:30.000Z,7.93905,2.20581,-5.07554,-5.69085
2014-02-18T18:41:30.000Z,7.90007,2.36940,-5.08905,-5.55436
2014-02-18T18:42:30.000Z,7.90671,2.40049,-4.91358,-5.70776
2014-02-18T18:43:30.000Z,7.91269,2.47852,-4.88158,-5.70061
2014-02-18T18:44:30.000Z,7.88036,1.17408,-6.03539,-4.90885
2014-02-18T18:45:30.000Z,7.84748,1.03733,-5.89595,-5.06217
2014-02-18T18:46:30.000Z,7.83409,0.878372,-6.13393,-4.78188
2014-02-18T18:47:30.000Z,7.88627,1.42396,-5.08161,-5.80880
2014-02-18T18:48:30.000Z,7.88182,1.84762,-3.54691,-6.77926
2014-02-18T18:49:30.000Z,7.91935,1.86924,-3.07597,-7.05249
2014-02-18T18:50:30.000Z,7.94963,1.93225,-3.40237,-6.91216
2014-02-18T18:51:30.000Z,7.99008,2.02092,-3.99900,-6.61233
2014-02-18T18:52:30.000Z,8.18523,2.01992,-4.41784,-6.57644
2014-02-18T18:53:30.000Z,8.27459,2.24851,-4.85328,-6.30512
2014-02-18T18:54:30.000Z,8.28213,2.13236,-4.68637,-6.47061
2014-02-18T18:55:30.000Z,8.27139,1.94099,-4.36807,-6.74821
2014-02-18T18:56:30.000Z,8.17506,1.92751,-4.41793,-6.60176
2014-02-18T18:57:30.000Z,8.17478,1.86739,-4.37951,-6.63855
2014-02-18T18:58:30.000Z,8.04453,1.87505,-4.29109,-6.53752
2014-02-18T18:59:30.000Z,8.02348,1.66938,-4.56509,-6.38303
2014-02-18T19:00:30.000Z,7.97024,1.68220,-4.52506,-6.33873
2014-02-18T19:01:30.000Z,8.01686,1.72197,-4.35655,-6.50461
2014-02-18T19:02:30.000Z,8.04421,1.74708,-4.22522,-6.61447
2014-02-18T19:03:30.000Z,8.08189,1.87106,-4.20084,-6.64189
2014-02-18T19:04:30.000Z,8.10949,1.82555,-4.03239,-6.79451
2014-02-18T19:05:30.000Z,8.16514,1.74068,-4.02132,-6.88846
2014-02-18T19:06:30.000Z,8.15428,1.83060,-4.19829,-6.73832
2014-02-18T19:07:30.000Z,8.05801,1.39043,-4.79056,-6.32481
2014-02-18T19:08:30.000Z,8.07410,1.68715,-4.60361,-6.41237
2014-02-18T19:09:30.000Z,8.08531,1.85741,-4.51803,-6.43923
2014-02-18T19:10:30.000Z,8.10715,1.75350,-3.99817,-6.82532
2014-02-18T19:11:30.000Z,8.02271,1.77332,-3.58036,-6.95293
2014-02-18T19:12:30.000Z,8.01600,1.87384,-3.01887,-7.18374
2014-02-18T19:13:30.000Z,8.01943,1.97033,-2.76887,-7.26167
2014-02-18T19:14:30.000Z,8.04028,2.10236,-3.52612,-6.90535
2014-02-18T19:15:30.000Z,8.00741,2.08990,-3.58151,-6.84854
2014-02-18T19:16:30.000Z,8.12911,2.43128,-4.18460,-6.51966
2014-02-18T19:17:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T19:18:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T19:19:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T19:20:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T19:21:30.000Z,8.14440,2.59642,-4.08609,-6.47565
2014-02-18T19:22:30.000Z,8.15314,2.85365,-3.83464,-6.59279
2014-02-18T19:23:30.000Z,8.15575,2.74532,-3.74746,-6.70061
2014-02-18T19:24:30.000Z,8.17350,2.72865,-3.65201,-6.78106
2014-02-18T19:25:30.000Z,8.19920,2.60348,-3.48896,-6.94277
2014-02-18T19:26:30.000Z,8.18462,2.24212,-3.07128,-7.24515
2014-02-18T19:27:30.000Z,8.20395,2.13699,-3.00424,-7.32407
2014-02-18T19:28:30.000Z,8.22100,2.65744,-3.70753,-6.83297
2014-02-18T19:29:30.000Z,8.22436,2.85923,-3.88358,-6.65269
2014-02-18T19:30:30.000Z,8.23993,2.25841,-3.43847,-7.13652
2014-02-18T19:31:30.000Z,8.24070,2.48411,-3.54498,-7.01161
2014-02-18T19:32:30.000Z,8.23831,2.61716,-3.55819,-6.95305
2014-02-18T19:33:30.000Z,8.25634,2.84016,-3.42319,-6.94557
2014-02-18T19:34:30.000Z,8.27569,2.84467,-3.16977,-7.08718
2014-02-18T19:35:30.000Z,8.30031,2.51213,-3.16223,-7.24826
2014-02-18T19:36:30.000Z,8.29858,4.66292,-2.99612,-6.10921
2014-02-18T19:37:30.000Z,8.31516,3.81165,-2.90121,-6.71637
2014-02-18T19:38:30.000Z,8.30336,4.15455,-2.99211,-6.51041
2014-02-18T19:39:30.000Z,8.26314,3.87008,-3.04321,-6.60537
2014-02-18T19:40:30.000Z,8.27609,2.90790,-2.93131,-7.15954
2014-02-18T19:41:30.000Z,8.26351,2.96502,-3.02789,-7.08775
2014-02-18T19:42:30.000Z,8.24089,3.16111,-2.63385,-7.13689
2014-02-18T19:43:30.000Z,8.21713,3.12285,-2.49771,-7.16973
