UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:26:37.258Z,4.9440898,-334.77580,5.3945315,-14.132773,30.386290,9.4124252,21.332764
2009-07-04T15:26:40.226Z,5.0777369,-337.30703,5.3122532,-14.964362,27.710495,9.6462225,21.634517
2009-07-04T15:26:43.194Z,5.3980017,-337.23373,5.1414440,-16.381776,27.002428,9.8088348,24.112301
2009-07-04T15:26:46.161Z,5.6116796,-334.38378,6.7055096,-17.435986,31.619329,9.9481723,24.056820
2009-07-04T15:26:49.129Z,5.6654247,-335.59818,7.0878239,-18.894039,27.296967,9.2598286,22.640909
2009-07-04T15:26:52.097Z,5.6925150,-335.83212,6.8633881,-22.125217,27.447090,9.8561743,21.757445
2009-07-04T15:26:55.065Z,5.8795984,-335.10060,7.4703822,-24.782378,27.078431,10.155222,22.251335
2009-07-04T15:26:58.033Z,6.2533780,-333.02641,8.8570540,-25.430253,22.452221,9.5686671,22.245743
2009-07-04T15:27:01.001Z,6.3871948,-327.81696,10.033148,-25.347055,25.498671,10.455450,32.807278
2009-07-04T15:27:03.969Z,6.6543854,-327.72931,11.780070,-26.102803,21.322686,10.246610,32.047263
2009-07-04T15:27:06.936Z,6.5748687,-325.71452,12.242477,-26.784169,19.855364,10.658545,39.598897
2009-07-04T15:27:09.904Z,6.2552657,-326.35934,12.132542,-27.539113,18.959109,11.133943,41.139610
2009-07-04T15:27:12.872Z,5.9622913,-328.51969,11.483362,-26.675314,19.093917,11.948210,43.550941
2009-07-04T15:27:15.840Z,5.9360620,-328.47696,11.863056,-26.489948,19.313046,12.557314,49.815903
2009-07-04T15:27:18.808Z,5.7230620,-329.80522,12.848613,-28.184367,19.388320,13.221939,51.632004
